Novel Name,Chapter Left off on,Last Read Date,,,,
Sword God In A Magical World,,4/8/2023,,,,
The Villain Wants To Live,,4/8/2023,,,,
Absolute Sword Sense,82,4/17/2023,,,,
Dafeng Night Squad,50,4/17/2023,,,,
I Inherited An Auction House,57,4/17/2023,,,,
Infinite Mana In The Apocalyse,21,4/17/2023,,,,
Online Game: I Can Use Ultimate Skills Indefinitely,38,4/17/2023,,,,
Monster Synthesis Master,460,4/26/2023,,,,
Game Transmigration: Saving the World,29,7/17/2023,,,,
I Fell Into The Game With Instant Kill,120,7/17/2023,,,,
Immortal in the Magic World,389,7/17/2023,,,,
My Cultivation Prowess Peaked,133,7/17/2023,,,,
The Glorious Summoner,154,7/17/2023,,,,
Thriller Paradise,71,7/17/2023,,,,
What If I Can't Die,517,7/17/2023,,,,
My House of Horrors,FIN,8/1/2023,,,,
Following A Hundred Years Of Cultivation,61,8/3/2023,,,,
I Have Awakened The Deduction System,91,8/3/2023,,,,
Lengendary Armament Canon,91,8/3/2023,,,,
Master of Martial Arts Has An Advanced Optical Brain,281,8/3/2023,,,,
Everyone Has Four Skills,46,8/11/2023,,,,
I Stack Attributes In The Apocalypse,36,8/11/2023,,,,
Life Simulation: Adding Wellness Tags,74,8/11/2023,,,,
"As An Immortal, I Only Learn Forbidden Skills",595,9/12/2023,,,,
"As An Undead Wizard, I Summon SSS-level Undead Disaster",34,9/12/2023,,,,
Cultivation: Starting From Upgrading My Computer,66,9/12/2023,,,,
Custom Mad Demon King,381,9/12/2023,,,,
Global Evolution: I Have An Atrribute Board,165,9/12/2023,,,,
Heaven Extinction Emperor,68,9/12/2023,,,,
I Am Loaded With Passive Skills,258,9/12/2023,,,,
I Have The Alchemy Emperor In My Head,21,9/12/2023,,,,
I Hide and Farm In The World Of Cultivation To Increase My Proficiency,144,9/12/2023,,,,
I Possessed A Demon Sovereign,81,9/12/2023,,,,
I See The Aura Of The Great Emperor,42,9/12/2023,,,,
My Two-Sided Cultivation: Collecting Experience,507,9/12/2023,,,,
After Becoming A Solo Player,75,10/4/2023,,,,
After Fishing for 10 Years,101,10/4/2023,,,,
Cultivation: Start From Upgrading My Computer,77,10/4/2023,,,,
Fantasy: I Did Not Raise The Divine Beasts,34,10/4/2023,,,,
Maximum Comprehension: Sword Pavilion,162,10/4/2023,,,,
My Descendants Begged Me To Help,15,10/4/2023,,,,
There Is A Huge Problem With My Achievement System,52,10/4/2023,,,,
Apocalypse Infinite Evolution Starts From Attribute Allocation,48,10/24/2023,,,,
Steward Demonic Emperor,-,10/24/2023,,,,
Becoming Immortal Through Getting Married,80,11/10/2023,,,,
Begins As An Island Owner,82,1/6/2024,,,,
Cultivation: I Can Add Descriptors To My Body,61,1/6/2024,,,,
Cultivation: Starting From Simplifying,669,1/6/2024,,,,
Demon Sect Cultivation: Disable Debuffs,150,1/6/2024,,,,
Divine Beast Lord: 10000 Amplifier,93,1/6/2024,,,,
Everything Is Too Easy After Maxing My Talents,296,1/6/2024,,,,
Family Cultivation: I Can Store My Ability To Understand,190,1/6/2024,,,,
I Am The Fated Villain,440,1/6/2024,,,,
I Have A Special Cultivation Talent,15,1/6/2024,,,,
I Have Countless Clones,350,1/6/2024,,,,
I Have Robbed 999 Types Of Power,188,1/6/2024,,,,
I Have Unparalleled Comprehension,250,1/6/2024,,,,
I Own A Funeral Home,114,1/6/2024,,,,
Invincibility Starts From Killing Enemies With My Own Hands,48,1/6/2024,,,,
My Sword Intent Can Be Infinitely Improved,130,1/6/2024,,,,
Sending The Groom to Jail,45,1/6/2024,,,,
Sharing Tamed Beasts' Talents,106,1/6/2024,,,,
Starting With The SSS-Rank Talent God-Tier Extraction,19,1/6/2024,,,,
The Mage of Eternity,50,1/6/2024,,,,
Turn Wast Into Treasure,79,1/6/2024,,,,
We Agreed To Brag Together,213,1/6/2024,,,,
Worldwide Apocalypse: Max Level Skill,56,1/6/2024,,,,
Age of Evolution,34,1/25/2024,,,,
Becoming A Sage Starts From Condensing The Essence of Time,23,1/25/2024,,,,
Global Towers: Starting With The SSS-Rank,24,1/25/2024,,,,
Hyperdimensional Universe: I have Three Talents,59,1/25/2024,,,,
"I Can Accumulate Proficiency, Starting From",57,1/25/2024,,,,
I Maximize My Item Dropping Rate,404,1/25/2024,,,,
My Master Only Breaks Through On The Edge Of Death,5,1/25/2024,,,,
Mythical Era: I Evolved Into A Stellar-Level Beast,51,1/25/2024,,,,
Reincarnated In The Apocalyse: Invincibility Starts,50,1/25/2024,,,,
"To Achieve Immortality, I Cultivate Using Qi Luck",50,1/25/2024,,,,
Top-Class Insight: Start with Basic Fist Techniques,144,1/25/2024,,,,
Unstoppable Martial Arts: Starting From Attribute Points Allocation,45,1/25/2024,,,,
I Secretly Develop Myself In The Demon World,21,2/14/2024,,,,
My Clones Cultivated Low Grade Martial Arts,228,2/14/2024,,,,
From A Stronghold NPC To The Final Boss,136,2/28/2024,,,,
I Can See Your Combat Power,59,2/28/2024,,,,
Top-Class Insight: Start with Basic Fist Techniques,221,3/9/2024,,,,
Beast Taming: Infinite Simulation As A Tamed Beast,32,4/17/2024,,,,
Counter Attack System,21,4/17/2024,,,,
I Just Won't Play By The Books,92,4/17/2024,,,,
Immortality Begins With Becoming An Alchemy Grandmaster,327,4/17/2024,,,,
Immortality: My Cultivation Has No Bottleneck,336,4/17/2024,,,,
My Longevity Simluation,332,4/17/2024,,,,
Simulation Towards Immortality In A Group Chat,199,4/17/2024,,,,
Sword Saint Should Go Tank,112,4/17/2024,,,,
The First Vampire,38,4/17/2024,,,,
The Path of Survivor Begins With Obtaining Titles,154,4/17/2024,,,,
The Sims: I Open The Immortal Path For All Beings,167,4/17/2024,,,,
"To Acheive Immortality, I Cultivate Using Qi Luck",209,4/17/2024,,,,
A Necromancer Who Just Wants To Plant Trees,225,5/2/2024,,,,
"Cultivating By Picking Up Attributes, I Accumulate My Strength",106,5/2/2024,,,,
Evolving Silver Dragon,25,5/2/2024,,,,
The Wizard Path From The Simulator,210,5/2/2024,,,,
Unnstoppable Martial Arts: Starting From Attribute,161,5/2/2024,,,,
Immortal Taoist Lord: My Cultivation Have No Limits,155,5/11/2024,,,,
Seeking Immortality in The World of Cultivation,223,5/11/2024,,,,
Beast Taming: I Can Evolve Infinitely,16,7/4/2024,,,,
Clan Leader: My Strength Equals To That of the Family,123,7/4/2024,,,,
I Don't Want To Get Hurt So I Maxed Out My Defense,25,7/4/2024,,,,
